,seeker_post,response_post
10,"I had a rough day at work, and then my significant other texted me out of the blue, saying they need some space. I don't know what to do or how to feel about it.",I get it—work and life can be super overwhelming sometimes. Have you thought about any ways to manage the stress or get some support?
11,My friend and I have been arguing a lot lately. We just can't seem to understand each other and it's causing a strain on our friendship.,What physical activity goals are you working on? Want to review them together?
12,"Hi. I've been feeling really down lately. I lost my job a few months ago, and despite all my efforts, I haven't been able to find a new one. I'm starting to feel hopeless.",Sure! How can I help you today?
13,"Honestly, I've been feeling so alone lately. It's been really difficult for me and it's starting to impact my friendship with my best friend.",Sure! Just let me know what you need help with or any questions you have.
14,"I've been feeling a bit discouraged lately. I've been trying to lose weight, but it's been really hard to stay motivated and see any progress.",Sure! What would you like to chat about today?
15,I'm feeling really frustrated. My colleague keeps taking credit for my work and it's causing tension in the workplace.,How often do you work out each week?
16,"Honestly, I'm feeling really down. I just got laid off from my job in the tech industry and I'm feeling overwhelmed and unmotivated.",How often do you work out each week?
17,"I've been feeling really overwhelmed lately. I recently started a new job, and I'm having a hard time keeping up with the workload and meeting the expectations.","Sure, I'm here to help. What do you want to talk about?"
18,"It's been a few weeks since the breakup, but I still can't stop thinking about our memories and everything we shared. I feel so disconnected and alone without them.",Sure! Want to go over your goals together?
19,"I've been having issues with my roommate. We can't seem to agree on how to divide the household chores, and it's causing a lot of frustration and tension between us.",Hi! How can I help with your fitness goals today?
20,I'm feeling really down lately. My best friend's mom passed away and she's having a tough time.,Hi! How can I help you today?
21,"I'm okay, thank you. I actually wanted to talk to you about something. My best friend is going through a tough time after losing her mom. It's been really hard for her to cope with the grief.",Sure! Let me know if you have any questions or need help with something.
22,"It's about my co-worker. Every time we have a team meeting, they always interrupt me and don't let me share my thoughts. It's really frustrating.",Sure! Let me know if you have any questions or need help with something.
23,"My sibling just lost their pet. They've had that pet for so many years and they're heartbroken. I want to comfort them, but I'm not sure how to help.",Sure! What's on your agenda?
24,"I'm okay, but I've been feeling quite lonely lately.",What do you want to talk about today?
25,"Exactly, it's like we're speaking different languages sometimes. I just want my partner to be able to understand me and provide the emotional support I need.",How often do you work out each week?
26,"I've been feeling really upset and ignored by my best friend lately. We used to be so close, but now it feels like they don't care about our friendship anymore.",Sure! Want to go over your goals together?
27,I've been so stressed lately because I have a job interview coming up. I keep doubting myself and worrying that I won't do well.,I'm feeling overwhelmed with everything happening in my life. Is it normal to feel like this?
28,"To be honest, work has been really tough lately. I'm feeling overwhelmed and starting to experience burnout.",I get it—work and life can be super overwhelming sometimes. Have you thought about any ways to manage the stress or get some support?
29,"Lately, my partner and I have been constantly arguing and having misunderstandings, and it's really taking a toll on our relationship.",It's totally normal to feel overwhelmed with so much on your plate. Have you thought about any time management strategies that might help?
30,"I have an important job interview coming up, and I can't shake off this anxiety. I don't know how to handle it.",I'm feeling overwhelmed with everything happening in my life. Is it normal to feel like this?
31,"About a year ago, I survived a sexual assault and since then, I find it really hard to open up and trust people. I'm scared to get close to anyone now.",Hey! Exercise is key for managing diabetes—it helps control blood sugar and boosts insulin sensitivity. How do you feel about adding more activity to your routine?
32,It's my colleague at work. They keep stealing my ideas and taking credit for my work. It's really starting to get on my nerves.,What do you want to talk about today?
33,"Honestly, I've been feeling really overwhelmed and stressed out. My boss keeps piling up tasks on me, and I can't seem to catch a break. I'm struggling to meet all the deadlines.",I get it—work and life can be super overwhelming sometimes. Have you thought about any ways to manage the stress or get some support?
34,"Yeah, it's been tough. I left all my friends behind and now I don't know how to meet new people.",What do you want to talk about today?
35,"Lately, I've been feeling really frustrated at work. I don't feel like my ideas and opinions are being heard or valued. It's starting to impact my confidence and job satisfaction.",Sure! How can I help you today?
36,My best friend and I have been arguing a lot lately. We can't seem to agree on our future plans and it's causing a lot of tension between us.,What do you want to talk about today?
37,"We had an argument about something trivial, but it escalated into a big fight. Now we're not talking and it's making me feel really distant from them.",Sure! Let me know if you have any questions or need help with something.
38,"Lately, my coworker has been dismissing my ideas during team meetings and never takes my opinions seriously. It's really getting to me.",How often do you work out each week?
39,"I've been having so many arguments with my best friend lately. We were planning a trip together, but we can't seem to agree on the itinerary and it's causing a lot of tension between us.",What do you want to talk about today?
40,"I've been better. I recently lost my dog, and it's been really tough. She was my best friend for 12 years, and I miss her deeply.","I'm swamped with work and feeling overwhelmed. It seems never-ending, and I'm not sure how to handle it all."
41,"Honestly, not great. I've been dealing with a lot of emotions ever since my long-term partner and I broke up. It's been really tough on me.",What do you want to know or chat about today?
42,"Work has been really stressful lately. I'm feeling overwhelmed with the amount of work I have to do. The workload suddenly increased, and I'm struggling to meet deadlines and manage my time effectively.","Sure, I'm here to help. What do you want to talk about?"
43,"It feels like whenever I try to express my feelings or concerns, my friend just doesn't understand or dismisses them. It's frustrating and makes me feel really isolated.",Sure! How can I help you today?
44,"Hi, I'm okay. I've been having a tough time adjusting to my new job. I feel overwhelmed with the workload and constantly struggle to meet deadlines.",Hey! How can I help with your fitness goals today?
45,"I have to consistently meet tight deadlines, work long hours, and deal with a lot of pressure from my boss. It's taking a toll on me both mentally and physically.","I'm here to help with your physical activity goals. It can be tough to stay motivated, but I'm here to support you. Want to review your goals together?"
46,"It's been really tough. I've tried to meet new people, but it feels like I can't connect with anyone or find people with similar interests.",Sure! What are your current fitness goals? Want to review them together?
47,I'm feeling really down lately. I recently moved to a new city and it's been hard to make friends. I feel really lonely and isolated.,I'm feeling overwhelmed with everything happening in my life. Is it normal to feel like this?
48,My uncle passed away recently and I'm having a really hard time.,I get it—work and life can be super overwhelming sometimes. Have you thought about any ways to manage the stress or get some support?
49,"I'm not doing so great, honestly. I've been job searching for a while now, but I keep getting rejected. It's starting to take a toll on my confidence.",Sure! Just let me know what you need help with or any questions you have.
50,"To be honest, I'm feeling devastated. I recently lost my dog after a long battle with illness.",Hi! How can I help you today?
51,I feel so worthless and trapped. I don't know how to break free from this toxic cycle.,How often do you work out each week?
52,"To be honest, I've been feeling really stressed and frustrated about my job search. It's been months since I graduated, and I can't seem to find any job opportunities. I'm starting to doubt myself and worry about what the future holds for me.",Sure! Let me know if you have any questions or need help with something.
